Neighborhood,Reference,Distance
random,training,114.78070927676754
random,training,112.97985360594086
random,training,114.40386566266017
random,training,115.25525989967939
random,training,115.33836033479909
random,training,111.78128294163524
random,training,114.3206623769282
random,training,114.20460005652953
random,training,112.99145335125141
random,training,119.56481082910089
random,training,123.56304955290939
random,training,123.35148588099766
random,training,116.29828001538675
random,training,112.10748698002958
random,training,111.0225840219363
random,training,111.37605238298802
random,training,116.61932053989158
random,training,119.3093575168382
random,training,118.08067238905348
random,training,123.89060519279086
random,training,124.51335020218052
random,training,123.43507789308032
random,training,120.84243147041617
random,training,125.0876940115526
random,training,126.90432922060342
random,training,126.85525691532798
random,training,123.02693043062638
random,training,124.95439436967185
random,training,125.72470488337213
random,training,125.11798330271053
random,training,126.63939651864175
random,training,123.81076652336213
random,training,120.05683567424416
random,training,119.96120205057377
random,training,122.55225952542409
random,training,124.55769824668513
random,training,118.99427256634357
random,training,125.51685935498503
random,training,121.34017631837622
random,training,117.81592298434666
random,training,115.31293711526912
random,training,113.27534357382748
random,training,112.84514084335571
random,training,115.32323317082884
random,training,107.71768204795451
random,training,106.43187340489087
random,training,106.77834519410615
random,training,109.6410977629919
random,training,111.86492699967506
random,training,116.16029506361248
random,training,110.56268220125408
random,training,113.17079177259934
random,training,114.1208566772236
random,training,117.23666792159538
random,training,108.63305938164376
random,training,110.05625491121093
random,training,110.65472052147057
random,training,114.55482950797828
random,training,116.07652204798583
random,training,119.17720672188516
random,training,121.94064664267609
random,training,118.75713203715004
random,training,123.07157586210951
random,training,124.50953059095305
random,training,124.10884108262461
random,training,118.85927451213205
random,training,116.68923531406925
random,training,117.58987419109317
random,training,118.31852897087558
random,training,117.9850150951308
random,training,116.8668312639238
random,training,111.12690198770737
random,training,106.1269169808823
random,training,111.60053870423171
random,training,107.85221863026669
random,training,109.84374675300126
random,training,109.45239286483091
random,training,106.69839183143742
random,training,103.0547635502145
random,training,105.55203105233977
random,training,107.96349689193995
random,training,103.43757744435126
random,training,108.86363152215083
random,training,109.8500061882847
random,training,107.87544237927412
random,training,110.36687866053234
random,training,115.18169756811898
random,training,110.94715396797965
random,training,108.48337541821407
random,training,109.40269937041901
random,training,111.60975721263368
random,training,110.31824447976716
random,training,116.77422899644054
random,training,120.55824927152742
random,training,121.3003343597543
random,training,121.24661414804068
random,training,118.74665490554446
random,training,117.74222167964342
random,training,116.42028392733815
random,training,115.47172273070726
random,training,108.96909098890963
random,training,109.27314600392786
random,training,112.53359783031114
random,training,115.0934197242826
random,training,110.98027631698365
random,training,107.97501430812095
random,training,107.59260157591486
random,training,110.65942182000941
random,training,113.76844236811887
random,training,119.33429927529045
random,training,118.24052101527363
random,training,125.05937973428519
random,training,117.6435084034867
random,training,116.63925653346884
random,training,116.42882300336846
